[Summary]
Cell: MAB.210604.001
Description: MAB.210604.001
Protocol: C:\UHPC_data\Mitch\LNO-4.3V-OCV 15min-30C-max 2C.pro
Mass (mg): 0.99
Capacity (mAHr): 0.27209
User: 
Started: 6/4/2021 7:01:40 PM
Version: 3.0
Channel312UHPC6_03
[End Summary]
[Data]
Time (h),Cycle,Step,Meas I (A),Potential (V),Capacity (Ah),Prot.Step
2.72492870605979,1,1,1.39095597E-05,3.63865025,3.78917373671502E-05,0
2.82964932785109,1,1,1.39093888E-05,3.64365489,3.93483488484592E-05,0
2.94806501814796,1,1,1.39092914E-05,3.64866404,4.09954239527958E-05,0
3.08314709824407,1,1,1.390907365E-05,3.65370413,4.28743073336559E-05,0
3.23107180475926,1,1,1.39088948E-05,3.6587223,4.49317868274141E-05,0
3.39182495980031,1,1,1.390880725E-05,3.66376637,4.71676646304371E-05,0
3.56039326695858,1,1,1.390858685E-05,3.66878265,4.95122175436867E-05,0
3.7328328258292,1,1,1.39083594E-05,3.6738066,5.19105828305332E-05,0
3.90750345019402,1,1,1.39077777E-05,3.67884051,5.43399533751418E-05,0
4.08037082724172,1,1,1.39083319E-05,3.68384264,5.67442411316679E-05,0
4.27122789605283,1,1,1.39087291E-05,3.68887172,5.93987443101916E-05,0
4.45132902706917,1,1,1.390833285E-05,3.69390921,6.19036482446156E-05,0
4.63490515816036,1,1,1.390800655E-05,3.69892789,6.4456871026165E-05,0
4.8176429014615,1,1,1.390828565E-05,3.70393398,6.69984362563291E-05,0
4.9977518205882,1,1,1.39081647E-05,3.70894632,6.95034320143979E-05,0
5.17828348035555,1,1,1.39084253E-05,3.71394676,7.20143288122351E-05,0
5.35871072501517,1,1,1.39086918E-05,3.71896853,7.45238076689034E-05,0
5.53431295728126,1,1,1.390877735E-05,3.72400947,7.69661964353745E-05,0
5.70877310136495,1,1,1.390832075E-05,3.72905514,7.93926502443364E-05,0
5.87701599270703,1,1,1.390818415E-05,3.73408724,8.17325904398756E-05,0
6.03653930159333,1,1,1.39080633E-05,3.7391067,8.39512387758348E-05,0
6.19305756429241,1,1,1.3907858E-05,3.74415013,8.61280730899643E-05,0
6.34367834008152,1,1,1.39078817E-05,3.74920137,8.8222874717764E-05,0
6.48772355685329,1,1,1.39078692E-05,3.75423828,9.02262297249429E-05,0
6.62781469079033,1,1,1.39082173E-05,3.75928029,9.21745955037332E-05,0
6.76061626989881,1,1,1.390791645E-05,3.76428098,9.40215885913864E-05,0
6.88933224594923,1,1,1.39081143E-05,3.7692887,9.58117629660344E-05,0
7.01429448308648,1,1,1.390834915E-05,3.77429249,9.75497558122785E-05,0
7.13473219586537,1,1,1.3908421E-05,3.77933703,9.9224845481757E-05,0
7.25135923698511,1,1,1.390837125E-05,3.78433856,0.000100846943837681,0
7.36334401335822,1,1,1.390826165E-05,3.78934334,0.000102404476879043,0
7.47071809455403,1,1,1.39082369E-05,3.7943474,0.000103897863369179,0
7.5768506419938,1,1,1.390791425E-05,3.79941931,0.000105373970682724,0
7.6787768268224,1,1,1.39082139E-05,3.80448357,0.000106791571066573,0
7.77668269770918,1,1,1.390778445E-05,3.80951547,0.000108153217817477,0
7.87125940903678,1,1,1.39076056E-05,3.81454587,0.00010946854823231,0
7.96302205575602,1,1,1.39075529E-05,3.81961268,0.000110744736369443,0
