	Cycle_ID	Cap_Chg	Cap_DChg	Specific_Capacity-Chg	Specific_Capacity-DChg	Efficiency	Engy_Chg	Engy_DChg	Mid-value_Voltage	CC_Chg_Cap	CC_Chg_Rat	Platform_Cap	Platform_RCap	Platform_Efficiency	Platform_Time	Capacitance_Chg	Capacitance_DChg	rd	REngy_Chg	REngy_DChg	Energy_Efficiency
110	225.29	225.13	225291.23	225133.68	99.93	854.30	838.05	3670.6	0.00	0.92	225.13	225133.68	100.00	2:52:37	0.0000	0.0000	0.0000	854296.56	838052.95	98.10%	
111	225.21	225.09	225213.08	225090.50	99.95	854.00	837.89	3670.6	0.00	0.47	225.09	225090.50	100.00	2:52:35	0.0000	0.0000	0.0000	854003.63	837892.43	98.11%	
112	225.13	225.03	225127.70	225025.92	99.95	853.72	837.66	3670.3	0.00	0.00	225.03	225025.92	100.00	2:52:32	0.0000	0.0000	0.0000	853715.72	837663.56	98.12%	
113	225.05	224.96	225053.61	224961.90	99.96	853.45	837.44	3670.3	0.00	0.46	224.94	224940.16	99.99	2:52:28	0.0000	0.0000	0.0000	853452.71	837435.49	98.12%	
114	225.00	224.91	224997.83	224912.67	99.96	853.24	837.25	3670.3	0.00	0.00	224.91	224912.67	100.00	2:52:27	0.0000	0.0000	0.0000	853243.07	837253.53	98.13%	
115	224.98	224.24	224976.94	224237.08	99.67	853.18	834.77	3668.4	0.00	0.00	224.24	224237.08	100.00	2:51:56	0.0000	0.0000	0.0000	853176.60	834770.74	97.84%	
116	224.88	224.82	224883.88	224822.54	99.97	852.82	836.91	3670.0	0.00	8.70	224.82	224822.54	100.00	2:52:23	0.0000	0.0000	0.0000	852821.26	836913.73	98.13%	
117	224.86	224.78	224858.89	224778.42	99.96	852.75	836.78	3670.3	0.00	1.41	224.78	224778.42	100.00	2:52:21	0.0000	0.0000	0.0000	852750.86	836778.96	98.13%	
118	224.80	224.76	224804.34	224756.74	99.98	852.56	836.69	3670.3	0.00	17.40	224.76	224756.74	100.00	2:52:20	0.0000	0.0000	0.0000	852555.31	836685.72	98.14%	
119	224.79	224.74	224789.11	224735.02	99.98	852.50	836.61	3670.3	0.00	2.18	224.74	224735.02	100.00	2:52:19	0.0000	0.0000	0.0000	852497.68	836612.50	98.14%	
120	224.75	224.69	224748.68	224690.72	99.97	852.35	836.46	3670.0	0.00	0.00	224.69	224690.72	100.00	2:52:17	0.0000	0.0000	0.0000	852347.22	836455.07	98.14%	
121	224.09	224.62	224093.57	224624.86	100.24	849.98	836.21	3670.0	0.00	0.00	224.62	224624.86	100.00	2:52:14	0.0000	0.0000	0.0000	849982.51	836212.81	98.38%	
122	224.70	224.63	224696.22	224627.66	99.97	852.17	836.23	3670.3	0.00	17.41	224.63	224627.66	100.00	2:52:14	0.0000	0.0000	0.0000	852167.03	836231.74	98.13%	
123	224.64	224.56	224636.12	224564.41	99.97	851.96	835.99	3670.0	0.00	0.19	224.56	224564.41	100.00	2:52:11	0.0000	0.0000	0.0000	851961.41	835988.24	98.13%	
124	224.63	224.57	224629.99	224568.34	99.97	851.92	836.00	3670.0	0.00	0.00	224.57	224568.34	100.00	2:52:11	0.0000	0.0000	0.0000	851924.43	835997.47	98.13%	
125	223.94	224.53	223937.41	224525.71	100.26	849.05	835.83	3670.0	0.00	0.00	224.53	224525.71	100.00	2:52:09	0.0000	0.0000	0.0000	849052.91	835828.29	98.44%	
126	224.55	224.48	224547.64	224477.81	99.97	851.63	835.66	3670.0	0.00	2.14	224.48	224477.81	100.00	2:52:07	0.0000	0.0000	0.0000	851629.62	835663.57	98.13%	
127	224.50	224.44	224503.20	224435.33	99.97	851.46	835.51	3670.0	0.00	0.00	224.44	224435.33	100.00	2:52:05	0.0000	0.0000	0.0000	851456.67	835510.79	98.13%	
128	224.48	224.44	224477.01	224437.23	99.98	851.38	835.51	3670.0	0.00	0.00	224.44	224437.23	100.00	2:52:05	0.0000	0.0000	0.0000	851378.88	835514.91	98.14%	
129	224.43	224.35	224431.90	224353.82	99.97	851.21	835.22	3669.7	0.00	1.45	224.35	224353.82	100.00	2:52:01	0.0000	0.0000	0.0000	851207.49	835216.22	98.12%	
130	224.39	224.35	224386.75	224349.67	99.98	851.07	835.20	3669.7	0.00	0.00	224.35	224349.67	100.00	2:52:01	0.0000	0.0000	0.0000	851065.62	835197.14	98.14%	
131	224.36	224.31	224363.40	224306.76	99.97	850.98	835.04	3669.7	0.00	0.19	224.31	224306.76	100.00	2:51:59	0.0000	0.0000	0.0000	850980.29	835037.74	98.13%	
